"The recipe","Source file count","Source file changed count","Cumulative scanning time (ns)","99th percentile scanning time (ns)","Max scanning time (ns)","Cumulative edit time (ns)","99th percentile edit time (ns)","Max edit time (ns)"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.spring.boot2.MigrateDatabaseCredentialsForToolYaml","7","4","0","0.0","0","2253100","1376252.0","1374900"
"org.openrewrite.java.spring.boot3.ConfigurationOverEnableSecurity","7","4","0","0.0","0","1054900","884720.0","861300"
"org.openrewrite.java.migrate.jakarta.RemovedJakartaFacesResourceResolver","7","4","32300","0.0","21300","25500","5112.0","5500"
"org.openrewrite.apache.httpclient5.MigrateAuthScope","7","4","0","0.0","0","68200","13304.0","13100"
"org.openrewrite.java.testing.arquillian.ReplaceArquillianInSequenceAnnotation","7","4","0","0.0","0","21100","6896.0","6700"
"org.openrewrite.java.ChangeAnnotationAttributeName","7","4","0","0.0","0","143800","17392.0","17200"
"org.openrewrite.java.spring.security6.oauth2.client.OAuth2LoginLambdaDsl","7","4","0","0.0","0","55500","22512.0","22300"
"org.openrewrite.java.migrate.jakarta.JavaxWebsocketToJakartaWebsocket","7","4","13700","0.0","9100","34200","5504.0","9700"
"org.openrewrite.java.migrate.RemovedLegacySunJSSEProviderName","7","4","9100","0.0","4900","19000","4592.0","9200"
"org.openrewrite.java.migrate.jakarta.UpgradeFaces4OpenSourceLibraries","7","4","3100","0.0","1200","23100","9184.0","9100"
"org.openrewrite.java.spring.boot2.SpringBoot2BestPractices","7","4","23100","0.0","6100","40300","9712.0","13600"
"org.openrewrite.gradle.plugins.UpgradePluginVersion","7","4","6039500","0.0","967200","4615200","59360.0","2001800"
"org.openrewrite.java.spring.boot2.MigrateDatabaseCredentials","7","4","26700","0.0","18300","9400","1136.0","4700"
"org.openrewrite.java.migrate.ReplaceLocalizedStreamMethods","7","4","0","0.0","0","270700","204796.0","203300"
"org.openrewrite.java.migrate.javax.MigrateElementKindVisitor6To9","7","4","10200","0.0","7100","11500","2288.0","5300"
"org.openrewrite.java.spring.boot2.MigrateApplicationHealthIndicatorToPingHealthIndicator","7","4","26200","0.0","10900","11500","2800.0","4800"
"org.openrewrite.java.migrate.UpgradeJavaVersion","7","4","0","0.0","0","3951300","1245180.0","1233600"
"org.openrewrite.apache.httpclient5.UpgradeApacheHttpClient_5","7","4","14800","0.0","3100","22900","1904.0","2300"
"org.openrewrite.java.spring.boot3.ActuatorEndpointSanitization","7","4","4300","0.0","2000","13800","3168.0","3600"
"org.openrewrite.java.migrate.lang.MigrateClassNewInstanceToGetDeclaredConstructorNewInstance","7","4","0","0.0","0","393100","237560.0","236500"
"org.openrewrite.java.migrate.jakarta.JavaxXmlSoapToJakartaXmlSoap","7","4","12200","0.0","3800","76100","32640.0","32000"
"org.openrewrite.java.spring.batch.ReplaceSupportClassWithItsInterface","7","4","0","0.0","0","57900","18428.0","18100"
"org.openrewrite.apache.httpclient4.MigrateDefaultHttpClient","7","4","0","0.0","0","36100","6904.0","6800"
"org.openrewrite.java.spring.batch.ConvertReceiveTypeWhenCallStepExecutionMethod","7","4","0","0.0","0","16300","9724.0","9300"
"org.openrewrite.java.spring.boot2.HttpSecurityLambdaDsl","7","4","0","0.0","0","15435600","1.5728624E7","15427300"
"org.openrewrite.java.migrate.cobertura.RemoveCoberturaMavenPlugin","7","4","13700","0.0","10800","7900","1904.0","1900"
"org.openrewrite.java.migrate.javax.MigrateXMLInputFactoryNewInstanceToNewFactory","7","4","5600","0.0","3300","10100","2544.0","2500"
"org.openrewrite.java.migrate.lang.MigrateRuntimeVersionMajorToFeature","7","4","11300","0.0","9400","16100","7152.0","7000"
"org.openrewrite.java.spring.framework.UpgradeSpringFramework_5_1","7","4","29100","0.0","9900","36800","2800.0","7900"
"org.openrewrite.java.spring.framework.UpgradeSpringFramework_5_2","7","4","29200","0.0","7500","38300","6136.0","7700"
"org.openrewrite.java.spring.framework.UpgradeSpringFramework_5_3","7","4","30100","0.0","9800","26700","2040.0","6800"
"org.openrewrite.java.migrate.jacoco.UpgradeJaCoCo","7","4","6400","0.0","3800","19100","4336.0","11900"
"org.openrewrite.java.spring.framework.UpgradeSpringFramework_5_0","7","4","23500","0.0","3800","78300","19452.0","19200"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicBooleanWeakCompareAndSetToWeakCompareAndSetPlain","7","4","8100","0.0","5700","18100","3312.0","9600"
"org.openrewrite.java.migrate.jakarta.JavaxDecoratorToJakartaDecorator","7","4","13200","0.0","5600","8400","1648.0","2700"
"org.openrewrite.java.migrate.logging.JavaLoggingAPIs","7","4","10900","0.0","8300","27000","5600.0","9500"
"org.openrewrite.java.spring.security6.UpdateEnableReactiveMethodSecurity","7","4","0","0.0","0","15300","7152.0","7100"
"org.openrewrite.java.migrate.jakarta.JavaxEjbJarXmlToJakartaEjbJarXml","7","4","4600","0.0","1300","12300","5856.0","5700"
"org.openrewrite.java.spring.security6.UseSha256InRememberMe","7","4","0","0.0","0","63700","49136.0","47200"
"org.openrewrite.hibernate.RemoveInvalidHibernateGeneratedValueAnnotation","7","4","0","0.0","0","35800","13296.0","13200"
